algorithm,num_agents,num_tasks,seed,success,iterations,total_distance,tasks_completed,productive_agents,unproductive_agents
fixed_pso,15,20,29,True,12,480.41929218496426,20,11,4
dynamic_pso,15,20,0,True,12,489.52191608855514,20,10,5
dynamic_pso,15,20,1,True,8,317.6671365610356,20,13,2
dynamic_pso,15,20,2,True,7,266.7874063953434,20,13,2
dynamic_pso,15,20,3,True,16,644.699572217548,20,11,4
dynamic_pso,15,20,4,True,8,313.52263717560396,20,13,2
dynamic_pso,15,20,5,True,7,273.8903580252059,20,12,3
dynamic_pso,15,20,6,True,10,399.2066445141913,20,12,3
dynamic_pso,15,20,7,True,7,270.2334965135235,20,13,2
dynamic_pso,15,20,8,True,12,470.13660609721967,20,12,3
dynamic_pso,15,20,9,True,7,286.7899094595094,20,10,5
dynamic_pso,15,20,10,True,11,439.520451314933,20,10,5
dynamic_pso,15,20,11,True,9,335.23840398553943,20,13,2
dynamic_pso,15,20,12,True,10,396.79548114920055,20,11,4
dynamic_pso,15,20,13,True,10,401.6754915236173,20,13,2
dynamic_pso,15,20,14,True,6,225.5312905390881,20,11,4
dynamic_pso,15,20,15,True,14,560.1120917057017,20,11,4
dynamic_pso,15,20,16,True,8,296.16083067259166,20,13,2
dynamic_pso,15,20,17,True,7,273.14634669081846,20,10,5
dynamic_pso,15,20,18,True,11,431.710026825119,20,10,5
dynamic_pso,15,20,19,True,10,401.20858710772416,20,10,5
dynamic_pso,15,20,20,True,10,389.32560027303947,20,12,3
dynamic_pso,15,20,21,True,8,313.83762096159023,20,11,4
dynamic_pso,15,20,22,True,11,428.4005159232388,20,14,1
dynamic_pso,15,20,23,True,9,353.4185455285697,20,12,3
dynamic_pso,15,20,24,True,11,437.032147305303,20,9,6
dynamic_pso,15,20,25,True,8,319.7969111609046,20,10,5
dynamic_pso,15,20,26,True,6,225.27066745252657,20,11,4
dynamic_pso,15,20,27,True,8,311.68788362453955,20,14,1
dynamic_pso,15,20,28,True,7,272.05742740343237,20,12,3
