seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,failure_rate,failure_iteration,failed_agent_count,failed_agent_ids,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_ratio,runtime_seconds
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,hungarian_astar,15,20,0.2,0.2,5,3,6;9;14,1,31,20,247.0,12,0,0,0.0,7.694717922000564
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,manhattan_greedy,15,20,0.2,0.2,5,3,3;7;14,1,36,20,437.0,11,10,0,0.6465324384787472,0.3099200959986774
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,path_cost_greedy,15,20,0.2,0.2,5,3,3;7;14,1,40,20,482.0,11,13,0,0.6888888888888889,6.130207829002757
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,hungarian_astar,15,20,0.2,0.2,5,3,3;7;14,1,28,20,239.0,11,1,0,0.0,4.802844084988465
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,manhattan_greedy,15,20,0.2,0.2,5,3,6;11;13,1,35,20,423.0,9,12,0,0.5885057471264368,0.22452028500265442
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,path_cost_greedy,15,20,0.2,0.2,5,3,6;11;13,1,35,20,423.0,9,12,0,0.5885057471264368,4.857911514991429
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,hungarian_astar,15,20,0.2,0.2,5,3,6;11;13,1,29,20,197.0,11,1,0,0.0,4.27988593900227
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,manhattan_greedy,15,20,0.2,0.2,5,3,7;10;11,1,62,20,732.0,9,27,0,0.7878787878787878,0.6665590299962787
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,path_cost_greedy,15,20,0.2,0.2,5,3,7;10;11,1,62,20,727.0,9,32,0,0.7905138339920948,8.114666037989082
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,hungarian_astar,15,20,0.2,0.2,5,3,7;10;11,1,36,20,233.0,14,0,0,0.0,4.73658948999946
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,manhattan_greedy,15,20,0.2,0.2,5,3,1;3;13,1,35,20,427.0,11,8,0,0.6528735632183909,0.10970953899959568
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,path_cost_greedy,15,20,0.2,0.2,5,3,1;3;13,1,33,20,400.0,11,11,0,0.6496350364963503,3.9711081349960295
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,hungarian_astar,15,20,0.2,0.2,5,3,1;3;13,1,22,20,191.0,12,1,0,0.0,4.034396087998175
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,manhattan_greedy,15,20,0.2,0.2,5,3,5;6;7,1,50,20,593.0,9,22,0,0.7691056910569106,0.35744982698815875
