seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,local_repair_calls,lock_escalations,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.0,,lock_aware,1,30,312.0,0,0.0,1.4060063479992095,30,17,4,16,1846,1846,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.0,,repeated,1,23,195.0,0,0.0,1.9881988269917201,23,23,0,0,3150,3150,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.0,,event_global,1,23,195.0,0,0.0,1.5306348929880187,23,15,0,0,2265,2265,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.0,,local_repair,1,43,230.0,0,0.0,0.26642323000123724,43,4,4,0,317,317,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.0,,lock_aware,1,23,183.0,0,0.0,1.3697139120049542,23,19,3,18,1937,1937,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.0,,repeated,1,15,130.0,0,0.0,1.5058826909953495,15,15,0,0,2130,2130,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.0,,event_global,1,15,130.0,0,0.0,1.3041955170047004,15,12,0,0,1890,1890,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.0,,local_repair,0,500,178.0,959,0.0,0.3120884469972225,500,5,5,0,318,318,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.0,,lock_aware,1,15,135.0,0,0.0,0.7959708639973542,15,11,4,10,1248,1248,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.0,,repeated,1,24,176.0,0,0.0,2.457948340001167,24,24,0,0,2985,2985,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.0,,event_global,1,24,176.0,0,0.0,1.3945126790058566,24,12,0,0,1755,1755,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.0,,local_repair,1,47,223.0,0,0.0,0.2768886760022724,47,4,4,0,319,319,0
