algorithm,seed,obstacle_density,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_events,redundant_target_ratio
manhattan_greedy,27,0.15,True,33,20,467.0,10,28,0,349,0.705050505050505
manhattan_greedy,28,0.15,True,32,20,439.0,10,41,0,367,0.7645833333333333
manhattan_greedy,29,0.15,True,20,20,297.0,13,3,0,173,0.5766666666666667
path_cost_greedy,0,0.15,True,49,20,712.0,10,23,0,575,0.782312925170068
path_cost_greedy,1,0.15,True,32,20,466.0,11,14,0,349,0.7270833333333333
path_cost_greedy,2,0.15,True,32,20,451.0,11,29,0,311,0.6479166666666667
path_cost_greedy,3,0.15,True,32,20,474.0,10,6,0,333,0.69375
path_cost_greedy,4,0.15,True,39,20,568.0,9,17,0,451,0.770940170940171
path_cost_greedy,5,0.15,True,36,20,529.0,11,11,0,400,0.7407407407407407
path_cost_greedy,6,0.15,True,22,20,314.0,13,16,0,209,0.6333333333333333
path_cost_greedy,7,0.15,True,30,20,425.0,10,25,0,296,0.6577777777777778
path_cost_greedy,8,0.15,True,41,20,599.0,11,16,0,486,0.7902439024390244
path_cost_greedy,9,0.15,True,27,20,395.0,13,10,0,285,0.7037037037037037
path_cost_greedy,10,0.15,True,41,20,598.0,12,17,0,460,0.7479674796747967
path_cost_greedy,11,0.15,True,19,20,281.0,11,4,0,167,0.5859649122807018
path_cost_greedy,12,0.15,True,32,20,471.0,11,9,0,349,0.7270833333333333
path_cost_greedy,13,0.15,True,38,20,560.0,11,10,0,421,0.7385964912280701
path_cost_greedy,14,0.15,True,45,20,611.0,11,64,0,543,0.8044444444444444
path_cost_greedy,15,0.15,True,29,20,434.0,12,1,0,305,0.7011494252873564
path_cost_greedy,16,0.15,True,34,20,479.0,12,31,0,364,0.7137254901960784
path_cost_greedy,17,0.15,True,31,20,455.0,13,10,0,329,0.7075268817204301
path_cost_greedy,18,0.15,True,29,20,425.0,12,10,0,319,0.7333333333333333
path_cost_greedy,19,0.15,True,34,20,472.0,12,38,0,390,0.7647058823529411
path_cost_greedy,20,0.15,True,29,20,429.0,9,6,0,298,0.6850574712643678
path_cost_greedy,21,0.15,True,29,20,424.0,11,11,0,282,0.6482758620689655
path_cost_greedy,22,0.15,True,19,20,280.0,12,5,0,162,0.5684210526315789
path_cost_greedy,23,0.15,True,54,20,787.0,13,23,0,651,0.8037037037037037
path_cost_greedy,24,0.15,True,30,20,438.0,13,12,0,321,0.7133333333333334
path_cost_greedy,25,0.15,True,41,20,573.0,12,42,0,457,0.7430894308943089
path_cost_greedy,26,0.15,True,38,20,558.0,9,12,0,435,0.7631578947368421
