algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents
fixed_pso,12,0.6,9,True,17,20,345.22691592553457,9
fixed_pso,13,0.6,9,True,12,20,256.11661774879894,10
fixed_pso,14,0.6,9,True,11,20,234.12690016495878,11
fixed_pso,15,0.6,9,True,14,20,275.3756965624117,9
fixed_pso,16,0.6,9,True,12,20,250.25641300763823,12
fixed_pso,17,0.6,9,True,12,20,250.30403472541047,12
fixed_pso,18,0.6,9,True,17,20,347.57601476723283,10
fixed_pso,19,0.6,9,True,24,20,465.9433347652759,10
fixed_pso,20,0.6,9,True,13,20,282.14668626104685,10
fixed_pso,21,0.6,9,True,15,20,303.9121379870783,11
fixed_pso,22,0.6,9,True,19,20,371.24956340357596,11
fixed_pso,23,0.6,9,True,16,20,322.8863651097552,9
fixed_pso,24,0.6,9,True,15,20,308.5699133744422,9
fixed_pso,25,0.6,9,True,10,20,216.63044364435265,13
fixed_pso,26,0.6,9,True,11,20,240.47531225588082,11
fixed_pso,27,0.6,9,True,15,20,305.7255745332635,12
fixed_pso,28,0.6,9,True,14,20,290.2060445549216,13
fixed_pso,29,0.6,9,True,11,20,243.0934108842105,10
dynamic_pso,0,0.6,9,True,18,20,358.44773544662183,10
dynamic_pso,1,0.6,9,True,11,20,244.73671135289345,10
dynamic_pso,2,0.6,9,True,13,20,271.5002880898277,12
dynamic_pso,3,0.6,9,True,12,20,253.1211364856936,11
dynamic_pso,4,0.6,9,True,14,20,278.61866997862194,13
dynamic_pso,5,0.6,9,True,14,20,275.0271730367855,12
dynamic_pso,6,0.6,9,True,11,20,240.99216710724053,14
dynamic_pso,7,0.6,9,True,12,20,247.5460317117936,13
dynamic_pso,8,0.6,9,True,18,20,356.1611795247625,13
dynamic_pso,9,0.6,9,True,15,20,309.5538160427976,11
dynamic_pso,10,0.6,9,True,13,20,270.02981080648067,12
dynamic_pso,11,0.6,9,True,20,20,377.1563014058857,11
dynamic_pso,12,0.6,9,True,17,20,337.8295908735552,9
dynamic_pso,13,0.6,9,True,11,20,234.9948407246818,10
dynamic_pso,14,0.6,9,True,11,20,234.8391593056431,11
dynamic_pso,15,0.6,9,True,14,20,279.35988807010256,9
dynamic_pso,16,0.6,9,True,14,20,277.51058207868914,12
dynamic_pso,17,0.6,9,True,12,20,247.87700729528598,11
dynamic_pso,18,0.6,9,True,18,20,359.203099178487,10
dynamic_pso,19,0.6,9,True,24,20,462.7553441382775,10
dynamic_pso,20,0.6,9,True,13,20,280.27051352633515,10
dynamic_pso,21,0.6,9,True,14,20,288.5345628442163,11
dynamic_pso,22,0.6,9,True,19,20,366.71177977491845,11
dynamic_pso,23,0.6,9,True,16,20,316.6587607822265,9
dynamic_pso,24,0.6,9,True,16,20,314.73161163974555,10
dynamic_pso,25,0.6,9,True,9,20,200.23776858849527,12
dynamic_pso,26,0.6,9,True,11,20,237.8280556869972,10
dynamic_pso,27,0.6,9,True,15,20,302.5708184183643,12
dynamic_pso,28,0.6,9,True,14,20,285.0415073038716,12
dynamic_pso,29,0.6,9,True,11,20,240.96961122015549,10
