seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
10,eb0bc7ae68e74478697ae471e7e7f1227635652f730c699441c4c5d513383e54,hungarian_astar,10,10,0.2,1,33,160.0,7,0,0.0,2.577915387999383
11,5a6294dd654bff255a12730542b782bdc897a8c48a294f69b3bde777de93b049,manhattan_greedy,10,10,0.2,1,28,280.0,6,0,0.7535714285714286,0.14029742000275292
11,5a6294dd654bff255a12730542b782bdc897a8c48a294f69b3bde777de93b049,path_cost_greedy,10,10,0.2,1,26,260.0,6,0,0.7384615384615385,0.6890320940001402
11,5a6294dd654bff255a12730542b782bdc897a8c48a294f69b3bde777de93b049,hungarian_astar,10,10,0.2,1,24,101.0,8,0,0.0,0.8574238099972717
12,091a1fda5842718abf1f6932deb64051cd50a1c924431eb949a503eac6d6b02d,manhattan_greedy,10,10,0.2,1,28,278.0,7,2,0.6392857142857142,0.09016437400714494
12,091a1fda5842718abf1f6932deb64051cd50a1c924431eb949a503eac6d6b02d,path_cost_greedy,10,10,0.2,1,28,278.0,7,2,0.6535714285714286,0.7481038749974687
12,091a1fda5842718abf1f6932deb64051cd50a1c924431eb949a503eac6d6b02d,hungarian_astar,10,10,0.2,1,21,110.0,8,0,0.0,0.6378923570009647
13,80906608889f666be8da07ef06cebad8e804cc92167fa8e6221974484aa73254,manhattan_greedy,10,10,0.2,1,37,366.0,5,4,0.7324324324324324,0.10906097099359613
13,80906608889f666be8da07ef06cebad8e804cc92167fa8e6221974484aa73254,path_cost_greedy,10,10,0.2,1,37,366.0,5,4,0.7405405405405405,1.34881087699614
13,80906608889f666be8da07ef06cebad8e804cc92167fa8e6221974484aa73254,hungarian_astar,10,10,0.2,1,26,154.0,7,0,0.0,1.5363807930116309
14,fbc760183cb0b641627bcd05e49940764f8cf9226cdc1a440d2baa0147489d54,manhattan_greedy,10,10,0.2,1,40,378.0,6,22,0.725,0.13477626800886355
14,fbc760183cb0b641627bcd05e49940764f8cf9226cdc1a440d2baa0147489d54,path_cost_greedy,10,10,0.2,1,34,325.0,6,15,0.7058823529411765,1.2473911730048712
14,fbc760183cb0b641627bcd05e49940764f8cf9226cdc1a440d2baa0147489d54,hungarian_astar,10,10,0.2,1,28,153.0,8,0,0.0,1.6018429669929901
15,cc7d29ae8f3aa8ad80be35b216c742d582b5810294d02870c2769900738a0adc,manhattan_greedy,10,10,0.2,1,30,293.0,6,7,0.6433333333333333,0.1440446670021629
15,cc7d29ae8f3aa8ad80be35b216c742d582b5810294d02870c2769900738a0adc,path_cost_greedy,10,10,0.2,1,30,295.0,6,5,0.6433333333333333,1.7678747210011352
15,cc7d29ae8f3aa8ad80be35b216c742d582b5810294d02870c2769900738a0adc,hungarian_astar,10,10,0.2,1,22,130.0,9,0,0.0,1.386328537002555
16,8b5634714601fce9473a901d69c219aac6fdae1e256f98ed9d04163ea13f5c5f,manhattan_greedy,10,10,0.2,1,17,169.0,6,1,0.47058823529411764,0.09366327300085686
16,8b5634714601fce9473a901d69c219aac6fdae1e256f98ed9d04163ea13f5c5f,path_cost_greedy,10,10,0.2,1,17,170.0,6,0,0.5058823529411764,2.49792774800153
16,8b5634714601fce9473a901d69c219aac6fdae1e256f98ed9d04163ea13f5c5f,hungarian_astar,10,10,0.2,1,25,140.0,8,1,0.0,2.763596176999272
17,ba5f8e7f45e5206c04c72d806f951d479d277b6b55fed0503f09f727a5961c39,manhattan_greedy,10,10,0.2,1,76,740.0,7,20,0.7618421052631579,0.4944981970038498
17,ba5f8e7f45e5206c04c72d806f951d479d277b6b55fed0503f09f727a5961c39,path_cost_greedy,10,10,0.2,1,50,487.0,6,13,0.714,3.914107199991122
17,ba5f8e7f45e5206c04c72d806f951d479d277b6b55fed0503f09f727a5961c39,hungarian_astar,10,10,0.2,1,34,186.0,9,0,0.0,3.4458909920067526
18,dade893658959e35283f7dc1eefb25e4e0a1c02ca2b304af53e16364c73808f5,manhattan_greedy,10,10,0.2,1,19,188.0,6,2,0.6368421052631579,0.1249039030080894
18,dade893658959e35283f7dc1eefb25e4e0a1c02ca2b304af53e16364c73808f5,path_cost_greedy,10,10,0.2,1,17,168.0,6,2,0.5588235294117647,0.9454303780075861
18,dade893658959e35283f7dc1eefb25e4e0a1c02ca2b304af53e16364c73808f5,hungarian_astar,10,10,0.2,1,18,111.0,7,0,0.0,0.8601472329901299
19,98390106e4054b69897d4167ed880db3ddcbf3114ea4b88459016dc566942248,manhattan_greedy,10,10,0.2,1,43,390.0,7,40,0.8046511627906977,0.17933144498965703
19,98390106e4054b69897d4167ed880db3ddcbf3114ea4b88459016dc566942248,path_cost_greedy,10,10,0.2,1,43,390.0,7,40,0.8046511627906977,1.4014766930049518
19,98390106e4054b69897d4167ed880db3ddcbf3114ea4b88459016dc566942248,hungarian_astar,10,10,0.2,1,25,100.0,7,0,0.0,0.9505390270060161
20,664801e897158f0d37c02f5d9c59f8b853328979cb0ebb95b0bff0f6e5d3079d,manhattan_greedy,10,10,0.2,1,20,199.0,7,1,0.575,0.07535983200068586
20,664801e897158f0d37c02f5d9c59f8b853328979cb0ebb95b0bff0f6e5d3079d,path_cost_greedy,10,10,0.2,1,19,189.0,7,1,0.5684210526315789,1.6359122069989098
20,664801e897158f0d37c02f5d9c59f8b853328979cb0ebb95b0bff0f6e5d3079d,hungarian_astar,10,10,0.2,1,26,140.0,7,0,0.0,1.576973517992883
21,13186e2cdd574a3ca690d27220d4529296a8ee74701b5de83b856fabc43383ad,manhattan_greedy,10,10,0.2,1,55,505.0,6,45,0.7836363636363637,0.15876279400254134
