seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
26,71f6f61a8c4650754f8e9f90d63bc973a417523f9ac073ea2d9c96657c0c88b1,manhattan_greedy,15,20,0.0,1,39,572.0,9,13,0.7829059829059829,0.10242737099906662
26,71f6f61a8c4650754f8e9f90d63bc973a417523f9ac073ea2d9c96657c0c88b1,path_cost_greedy,15,20,0.0,1,39,572.0,9,13,0.7829059829059829,1.5026025980041595
26,71f6f61a8c4650754f8e9f90d63bc973a417523f9ac073ea2d9c96657c0c88b1,hungarian_astar,15,20,0.0,1,25,243.0,13,1,0.0,1.4441086930019083
27,27e4d1e63a93e6a63db76783ad14e836a0eb9b306cf6fcb88cbdf4cce0bf9ab7,manhattan_greedy,15,20,0.0,1,25,362.0,12,13,0.696,0.13185697999870172
27,27e4d1e63a93e6a63db76783ad14e836a0eb9b306cf6fcb88cbdf4cce0bf9ab7,path_cost_greedy,15,20,0.0,1,25,362.0,12,13,0.696,3.499915731998044
27,27e4d1e63a93e6a63db76783ad14e836a0eb9b306cf6fcb88cbdf4cce0bf9ab7,hungarian_astar,15,20,0.0,1,19,151.0,13,0,0.0,2.7754980610043276
28,00b96c40e4a17030613b40c8615967a6fa0f74e7f73a930b60a2f45f07381942,manhattan_greedy,15,20,0.0,1,41,579.0,11,36,0.8097560975609757,0.3433050199964782
28,00b96c40e4a17030613b40c8615967a6fa0f74e7f73a930b60a2f45f07381942,path_cost_greedy,15,20,0.0,1,41,579.0,11,36,0.8097560975609757,3.8249553860005108
28,00b96c40e4a17030613b40c8615967a6fa0f74e7f73a930b60a2f45f07381942,hungarian_astar,15,20,0.0,1,17,151.0,11,1,0.0,3.04494719899958
29,ab43e3b3607f7a699dd76ce8a7307bc4dc62a7165ef510020562b91002c625ff,manhattan_greedy,15,20,0.0,1,29,424.0,13,11,0.6850574712643678,0.24312730100064073
