seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,event_replans,periodic_replans
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.2,5;13;14,local_repair,1,43,246.0,0,0.0,0.2757988950033905,43,7,nan,nan
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.2,0;1;3,repeated,1,23,220.0,1,0.0,2.83181521599181,23,23,nan,nan
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.2,0;1;3,event_global,1,23,220.0,1,0.0,1.5104524369962746,23,14,13,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.2,0;1;3,local_repair,0,500,261.0,473,0.0,0.4390176960005192,500,6,nan,nan
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.2,5;10;12,repeated,1,33,240.0,1,0.0,2.536109294000198,33,33,nan,nan
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.2,5;10;12,event_global,1,33,240.0,1,0.0,1.4417226410005242,33,14,13,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.2,5;10;12,local_repair,0,500,331.0,477,0.0,0.5274277680000523,500,5,nan,nan
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.2,5;10;11,repeated,1,22,184.0,1,0.0,2.616944482011604,22,22,nan,nan
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.2,5;10;11,event_global,1,22,184.0,1,0.0,1.311434036004357,22,13,12,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.2,5;10;11,local_repair,0,500,198.0,467,0.0,0.4324324499903014,500,5,nan,nan
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.2,3;7;12,repeated,1,22,175.0,0,0.0,2.9431802199978847,22,22,nan,nan
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.2,3;7;12,event_global,1,22,175.0,0,0.0,1.7006769889994757,22,11,10,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.2,3;7;12,local_repair,0,500,208.0,487,0.0,0.7754916140111163,500,7,nan,nan
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.2,9;10;11,repeated,1,20,150.0,0,0.0,2.8674530220014276,20,20,nan,nan
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.2,9;10;11,event_global,1,20,150.0,0,0.0,2.091614106000634,20,13,12,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.2,9;10;11,local_repair,1,24,173.0,0,0.0,0.3923627629992552,24,4,nan,nan
