algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents,surviving_agents,distance_per_task,distance_per_surviving_agent,tasks_per_surviving_agent
fixed_pso,14,0.4,6,True,9,20,254.42513244291044,12,9,12.721256622145521,28.269459160323382,2.2222222222222223
fixed_pso,15,0.4,6,True,14,20,373.7896573891774,11,9,18.68948286945887,41.53218415435305,2.2222222222222223
fixed_pso,16,0.4,6,True,11,20,303.0707372436801,12,9,15.153536862184007,33.674526360408905,2.2222222222222223
fixed_pso,17,0.4,6,True,9,20,245.15294097212532,12,9,12.257647048606266,27.23921566356948,2.2222222222222223
fixed_pso,18,0.4,6,True,17,20,461.2521434653543,11,9,23.062607173267715,51.25023816281715,2.2222222222222223
fixed_pso,19,0.4,6,True,14,20,386.1505184515037,9,9,19.307525922575184,42.90561316127818,2.2222222222222223
fixed_pso,20,0.4,6,True,22,20,589.2114249526376,9,9,29.46057124763188,65.46793610584862,2.2222222222222223
fixed_pso,21,0.4,6,True,19,20,503.3826873965001,11,9,25.169134369825006,55.931409710722235,2.2222222222222223
fixed_pso,22,0.4,6,True,14,20,382.50072770372174,12,9,19.125036385186085,42.50008085596908,2.2222222222222223
fixed_pso,23,0.4,6,True,10,20,280.1075887291024,12,9,14.00537943645512,31.123065414344712,2.2222222222222223
fixed_pso,24,0.4,6,True,17,20,453.30764983796985,11,9,22.66538249189849,50.36751664866332,2.2222222222222223
fixed_pso,25,0.4,6,True,11,20,302.4989540796261,12,9,15.124947703981306,33.610994897736234,2.2222222222222223
